S_type,E_type,S_speed,S_acc,D1,D2,Rs,B,F_type,Rf,Result
3,0,5.33,-0.48,624.88,1007.31,0.67,1,1,0.4,-1
0,1,17.27,-0.97,1113.37,723.22,0.71,0,0,0.71,1
1,0,7.43,0.01,1171.29,406.96,0.88,1,1,0.16,1
3,2,13.95,-2.13,1140.52,871.25,0.49,1,0,0.35,1
3,0,17.85,-0.41,763.74,694.33,0.96,1,1,0.12,1
1,1,3.14,-3.9,1190.94,966.82,0.3,1,2,0.33,1
2,1,1.58,-3.07,1050.09,663.73,0.62,1,1,0.43,1
3,0,0.62,-1.2,504.1,760.95,0.05,0,3,0.05,1
1,2,9.21,2.44,633.99,800.38,0.08,0,1,0.08,1
1,2,14.23,-1.04,491.2,750.1,0.36,0,1,0.36,1
2,3,14.23,2.16,123.51,151.42,0.28,1,0,0.38,1
3,1,17.59,0.59,323.01,108.33,0.09,0,3,0.09,1
0,3,3.45,1.12,478.17,794.1,0.55,0,0,0.55,-1
2,3,6.58,-0.33,105.69,576.37,0.63,1,2,0.76,-1
1,1,14.57,1.53,149.61,871.71,0.84,0,1,0.84,-1
1,2,16.58,0.15,820.38,1086.65,0.69,0,1,0.69,1
2,3,16.33,1.77,410.63,89.52,0.54,1,2,0.55,1
1,1,10.06,-3.84,284.06,964.45,0.5,0,1,0.5,-1
1,3,2.32,-2.31,734.53,353.41,0.01,0,1,0.01,1
0,1,9.05,-4.13,767.0,168.67,0.38,0,0,0.38,1
1,3,9.73,-2.65,175.24,1107.42,0.99,0,1,0.99,1
0,0,4.45,1.11,543.58,528.96,0.72,1,1,0.33,-1
3,0,6.66,-4.73,317.26,319.71,0.58,1,2,0.73,-1
2,1,10.34,1.84,1060.06,616.15,0.27,1,1,0.79,1
3,3,3.21,2.44,1194.06,51.68,0.32,1,0,0.58,1
0,2,0.63,2.19,101.02,255.57,0.24,1,0,0.74,1
1,0,8.81,0.69,35.44,1026.13,0.22,1,2,0.3,1
3,2,5.16,1.31,1112.59,402.59,0.51,0,3,0.51,1
1,1,8.35,-1.15,210.72,667.3,0.12,1,0,0.43,1
0,3,1.22,-0.55,499.82,30.73,0.36,1,2,0.71,1
1,2,5.54,1.17,31.09,1129.93,0.3,1,0,0.64,1
1,0,5.83,1.64,125.13,709.84,0.36,0,1,0.36,1
3,0,5.6,-2.73,203.63,688.42,0.32,0,3,0.32,1
0,1,10.47,1.75,60.43,191.35,0.57,0,0,0.57,-1
0,1,15.93,-0.71,996.32,327.54,0.48,0,0,0.48,-1
2,0,5.16,-0.04,123.06,808.45,0.84,1,0,0.71,-1
0,1,9.17,-0.92,221.89,39.1,0.36,0,0,0.36,1
2,2,0.11,2.65,50.93,54.18,0.89,0,2,0.89,1
3,3,5.78,1.47,1114.2,439.39,0.12,0,3,0.12,1
3,0,7.78,-0.24,281.85,133.8,0.52,0,3,0.52,-1
1,1,5.24,-1.93,31.48,346.41,0.02,0,1,0.02,1
3,2,3.9,-1.17,631.22,500.09,0.07,1,2,0.2,1
2,0,12.09,-4.66,50.04,511.64,0.91,0,2,0.91,-1
2,0,9.49,2.68,221.62,861.66,0.43,0,2,0.43,1
0,1,0.51,-0.75,78.49,707.18,0.01,0,0,0.01,1
0,2,14.65,-0.95,953.25,1161.43,0.4,1,1,0.1,1
1,3,16.96,1.38,1091.05,431.82,0.96,1,0,0.71,1
1,1,2.41,-4.17,262.4,602.28,0.04,0,1,0.04,1
2,3,15.53,-4.65,40.68,288.07,0.16,0,2,0.16,1
1,2,3.01,1.09,164.68,720.95,0.73,1,1,0.91,-1
3,2,3.8,0.47,898.39,178.21,0.65,0,3,0.65,-1
2,0,13.51,2.25,292.66,490.29,0.04,1,1,0.4,1
2,1,15.42,0.66,846.32,361.71,0.31,0,2,0.31,1
0,1,11.58,-0.34,761.38,556.7,0.39,0,0,0.39,1
1,2,1.87,-2.3,595.41,289.76,0.23,0,1,0.23,1
1,2,13.79,-4.72,246.11,950.82,0.85,0,1,0.85,-1
3,0,0.42,-4.98,279.26,705.18,0.78,1,0,0.45,-1
1,1,8.11,-2.09,273.05,655.56,0.95,0,1,0.95,-1
3,3,14.44,-4.06,802.98,813.2,0.64,1,0,0.93,-1
1,1,15.62,-1.97,680.25,375.49,0.51,0,1,0.51,-1
1,0,12.63,1.18,740.6,654.07,0.64,1,0,0.55,-1
2,3,12.98,2.32,826.94,1034.03,0.05,1,2,0.77,1
2,0,12.47,2.79,1054.37,532.93,0.37,1,1,0.13,1
0,3,7.51,1.77,499.23,857.77,0.25,0,0,0.25,1
2,3,6.45,0.01,254.22,354.42,0.53,0,2,0.53,-1
2,0,15.01,-3.13,541.12,969.15,0.15,0,2,0.15,1
2,0,2.1,1.25,1177.39,279.12,0.6,1,1,0.82,1
0,3,15.97,2.81,1038.83,1081.11,0.64,0,0,0.64,1
2,0,17.01,-0.87,1173.94,76.25,0.5,0,2,0.5,1
0,0,3.73,-4.81,553.33,989.09,0.03,0,0,0.03,1
0,2,13.43,2.46,548.34,547.16,0.29,0,0,0.29,1
3,2,7.83,-2.33,939.45,1055.66,0.81,0,3,0.81,1
1,0,7.46,-1.25,978.56,45.06,0.06,1,0,0.47,1
1,0,7.76,-3.26,1018.38,356.67,0.96,0,1,0.96,1
2,2,4.27,-1.92,441.89,43.99,0.95,1,1,0.19,1
1,0,6.17,-1.3,972.31,489.59,0.63,0,1,0.63,-1
2,1,6.13,1.33,645.41,35.43,0.04,1,1,0.87,1
0,2,1.77,1.65,236.26,31.85,0.55,0,0,0.55,-1
2,2,9.88,-4.35,1039.17,803.23,0.87,0,2,0.87,1
1,3,5.85,-0.91,102.21,1020.05,0.57,1,2,0.87,-1
1,0,9.38,-0.66,866.12,395.79,0.85,1,0,0.62,-1
0,2,10.12,1.98,1123.77,393.4,0.37,0,0,0.37,1
1,3,17.08,-4.38,214.73,351.92,0.5,1,1,0.2,1
2,1,4.93,2.63,349.06,311.48,0.45,1,0,0.62,1
1,1,1.88,1.42,1022.37,126.14,0.71,0,1,0.71,1
3,3,10.88,0.64,643.37,490.3,0.89,0,3,0.89,-1
3,0,14.43,-4.54,153.05,130.22,0.55,1,1,0.88,-1
2,1,17.66,-3.2,1007.92,81.88,0.9,1,0,0.49,1
2,0,0.58,-3.83,44.13,140.78,0.41,0,2,0.41,-1
1,3,14.62,-4.46,490.83,1116.83,0.02,1,2,0.4,1
3,2,8.89,-2.99,1133.02,243.88,0.83,1,2,0.85,1
2,3,15.9,-3.75,349.18,810.78,0.53,1,2,0.84,-1
1,2,12.8,-4.48,787.69,1069.12,0.57,1,2,0.18,1
0,2,13.55,-4.57,904.25,670.7,0.91,1,0,0.29,1
3,2,14.83,-1.83,936.44,352.17,0.06,0,3,0.06,1
3,1,7.7,0.37,285.94,568.05,0.95,0,3,0.95,-1
1,0,14.74,-4.16,739.93,1069.1,0.96,1,2,0.32,-1
3,3,6.67,-3.91,728.46,315.04,0.56,0,3,0.56,-1
0,3,17.09,1.17,178.73,837.03,0.2,0,0,0.2,1
1,3,9.56,-1.71,549.3,821.48,0.4,1,1,0.88,-1
0,2,12.83,-1.04,243.37,237.34,0.1,1,0,0.12,1
1,2,12.78,-3.47,657.43,70.29,0.93,0,1,0.93,-1
1,1,7.64,-3.97,908.02,481.27,0.3,0,1,0.3,1
1,0,5.58,1.77,788.24,875.75,0.47,0,1,0.47,-1
2,0,17.22,-1.48,911.03,467.32,0.01,1,1,0.52,1
2,0,1.65,0.7,483.92,181.71,0.18,1,1,0.41,1
0,2,13.25,0.31,405.94,1161.52,0.18,1,0,0.09,1
2,0,9.69,-4.57,999.35,880.04,0.03,0,2,0.03,1
1,0,17.68,-4.31,866.18,714.83,0.79,0,1,0.79,1
2,2,13.09,1.6,954.3,265.4,0.2,0,2,0.2,1
2,3,12.86,2.97,440.55,1093.88,0.56,0,2,0.56,1
2,3,1.83,-3.14,100.68,469.23,0.84,1,2,0.82,-1
2,0,10.89,-1.14,1064.52,505.15,0.9,1,2,0.39,1
2,3,15.69,-4.48,1158.24,231.24,0.09,0,2,0.09,1
1,1,10.72,2.25,848.74,126.17,0.75,0,1,0.75,1
1,0,8.86,-1.16,1101.68,100.97,0.83,1,2,0.23,1
3,3,6.16,-1.37,913.77,946.78,0.88,1,1,0.69,-1
1,2,16.94,-2.59,421.12,419.86,0.39,0,1,0.39,1
3,2,9.46,-2.06,774.37,290.55,0.06,0,3,0.06,1
3,0,12.29,2.97,647.95,1093.87,0.79,0,3,0.79,1
0,3,1.8,-4.15,857.31,368.83,0.39,0,0,0.39,1
0,0,15.61,2.33,974.87,679.61,0.58,0,0,0.58,1
0,0,1.72,-3.03,114.5,681.67,0.68,1,0,0.51,-1
1,2,8.7,-4.16,529.25,493.02,0.96,0,1,0.96,-1
0,3,14.67,-0.88,684.85,298.83,0.29,1,1,0.15,1
2,3,2.79,-3.18,315.42,438.62,0.04,0,2,0.04,1
0,1,7.4,0.93,816.46,738.78,0.17,1,1,0.64,1
2,3,1.88,-0.06,78.14,448.5,0.67,0,2,0.67,-1
1,3,13.27,2.82,508.42,589.29,0.34,0,1,0.34,1
3,1,11.71,1.56,200.61,76.87,0.12,0,3,0.12,1
2,0,7.49,-4.39,231.86,325.35,0.71,0,2,0.71,-1
2,0,6.25,-2.98,349.83,411.63,0.35,0,2,0.35,1
0,2,12.66,-1.6,906.54,901.57,0.0,0,0,0.0,1
0,0,5.05,-0.6,842.11,307.51,0.51,1,1,0.84,-1
2,1,8.24,0.32,696.94,1028.81,0.08,0,2,0.08,1
3,0,8.83,-2.0,560.8,37.49,0.91,1,2,0.3,-1
3,1,1.03,-1.85,1171.99,1127.73,0.52,0,3,0.52,1
0,3,9.52,-4.06,1059.41,912.02,0.29,0,0,0.29,1
0,1,14.39,1.14,939.83,719.91,0.27,1,1,0.16,1
3,1,17.21,2.26,1158.96,312.88,0.93,1,1,0.78,1
3,0,5.2,-3.87,525.59,155.93,0.78,0,3,0.78,-1
2,3,1.37,-3.01,612.82,298.57,0.03,1,0,0.94,1
3,3,7.5,1.53,841.92,535.24,0.45,0,3,0.45,-1
2,1,0.47,1.92,848.81,50.42,0.74,0,2,0.74,-1
2,2,0.48,2.23,839.29,119.48,0.04,0,2,0.04,1
1,3,4.58,1.04,930.22,905.64,0.43,0,1,0.43,-1
1,1,9.44,-3.39,521.14,123.86,0.42,0,1,0.42,-1
2,2,0.85,0.85,38.46,214.8,0.49,0,2,0.49,-1
3,3,4.0,-2.39,54.14,193.42,0.96,0,3,0.96,-1
2,1,10.52,-1.59,606.61,1006.82,0.2,0,2,0.2,1
2,0,12.61,-1.63,953.43,984.86,0.75,1,1,0.99,-1
3,3,3.29,-4.88,1055.03,461.6,0.47,1,0,0.18,1
0,0,7.48,-3.83,982.58,84.23,0.95,1,1,0.51,-1
2,3,6.81,2.59,982.06,333.92,0.38,1,1,0.16,1
3,1,12.86,-4.53,826.95,953.49,0.17,1,2,0.62,1
0,2,17.69,0.49,71.69,436.77,0.63,0,0,0.63,1
3,0,7.7,1.44,381.31,451.77,0.95,1,0,0.53,-1
0,2,5.26,0.67,1091.7,863.67,0.22,0,0,0.22,1
1,3,11.02,-4.51,1138.62,440.71,0.61,0,1,0.61,1
0,3,2.77,-3.9,559.03,483.52,0.41,1,2,0.65,-1
0,1,7.27,0.59,900.08,1074.28,0.76,0,0,0.76,1
3,2,10.28,0.02,138.66,663.47,0.29,0,3,0.29,1
0,2,14.21,1.18,457.76,605.94,0.81,1,2,0.41,-1
1,3,11.22,-0.81,836.59,418.92,0.03,1,2,0.13,1
0,0,16.17,-0.9,204.96,334.88,0.17,1,1,0.98,1
3,1,12.55,0.4,1174.55,344.15,0.63,0,3,0.63,1
3,2,13.54,1.68,1151.21,974.29,0.06,1,1,0.21,1
2,0,14.15,0.02,640.12,80.65,0.63,0,2,0.63,-1
1,3,6.29,-2.68,336.33,741.36,0.71,0,1,0.71,-1
1,1,0.5,-2.39,978.63,244.76,0.06,0,1,0.06,1
2,1,12.34,-0.94,464.61,61.42,0.62,0,2,0.62,-1
1,0,12.74,0.3,367.59,1138.45,0.57,1,1,0.8,-1
3,2,17.35,0.09,401.4,1044.1,0.87,0,3,0.87,1
1,3,11.5,1.99,154.47,873.99,0.08,0,1,0.08,1
0,1,9.55,-0.11,539.49,628.34,0.92,0,0,0.92,-1
3,1,14.24,1.2,926.5,797.0,0.86,1,1,0.17,1
2,1,4.92,-1.82,1127.1,746.43,0.37,1,1,0.76,1
1,1,8.45,-1.11,87.28,1111.01,0.25,1,1,0.96,1
1,1,13.17,-3.42,589.15,1061.93,0.86,0,1,0.86,1
2,1,12.28,-1.44,914.03,68.59,0.73,0,2,0.73,-1
3,2,4.92,-3.65,724.6,411.4,0.7,1,2,0.9,-1
1,2,10.17,-0.73,1075.58,1197.67,0.0,0,1,0.0,1
1,0,4.14,-1.2,161.9,72.39,0.29,1,1,0.81,1
0,0,14.86,-4.92,697.56,427.68,0.38,1,2,0.29,1
0,0,8.76,1.08,1132.06,198.55,0.12,0,0,0.12,1
2,2,11.1,-3.7,811.73,215.21,0.91,0,2,0.91,-1
0,2,0.09,-0.88,710.72,841.66,0.5,1,2,0.6,-1
1,0,2.98,-0.72,1087.47,202.05,0.02,1,1,0.75,1
0,2,10.33,-0.71,888.27,749.63,0.76,1,1,0.67,-1
2,3,10.98,-3.24,434.81,409.12,0.51,0,2,0.51,-1
0,0,12.65,1.92,1177.61,948.98,0.77,1,2,0.21,1
1,2,9.02,-0.11,493.83,57.91,0.58,1,1,0.75,-1
2,0,10.69,-1.24,436.16,129.92,0.14,1,1,0.68,1
3,2,4.98,1.61,1134.22,593.7,0.22,1,1,0.54,1
1,2,7.02,-0.45,162.58,689.98,0.37,1,1,0.74,1
3,2,15.48,1.89,1096.1,464.34,0.61,1,1,0.93,1
3,3,11.67,-2.33,369.86,707.08,0.53,0,3,0.53,-1
2,3,5.27,-0.9,240.25,1065.29,0.95,0,2,0.95,1
0,3,5.58,2.01,427.8,902.64,0.14,1,1,0.12,1
1,2,9.8,0.9,158.6,542.8,0.62,0,1,0.62,-1
1,2,15.52,-3.39,378.84,110.37,0.2,1,2,0.78,1
2,3,14.39,-4.25,1075.1,1048.97,0.34,0,2,0.34,1
3,2,8.96,-2.7,918.22,146.7,0.96,1,0,0.56,-1
0,2,13.39,-2.04,40.57,602.12,0.12,1,0,0.5,1
2,0,15.41,2.94,568.41,334.68,0.59,0,2,0.59,1
0,2,17.37,-3.82,327.16,304.96,0.9,1,2,0.92,1
2,0,3.68,2.59,1175.31,613.31,0.24,1,0,0.13,1
1,2,13.4,-2.97,1166.47,313.01,0.38,0,1,0.38,1
3,3,5.94,-3.78,879.54,805.43,0.12,1,0,0.65,1
1,3,0.62,-0.33,113.3,605.88,0.58,1,1,0.22,1
0,0,16.93,-3.38,304.43,377.7,0.12,1,0,0.83,1
1,2,3.66,-2.91,66.6,286.15,0.26,0,1,0.26,1
1,0,4.13,-2.99,807.05,165.98,0.46,1,2,0.19,1
2,2,2.77,0.62,151.28,387.78,0.33,1,0,0.3,1
3,0,17.3,-1.82,145.16,1152.3,0.43,0,3,0.43,1
2,1,5.88,0.59,438.62,639.33,0.24,1,1,0.03,1
2,1,15.65,1.93,88.1,1135.85,0.17,0,2,0.17,1
1,0,8.25,-0.62,512.79,1168.89,0.78,0,1,0.78,1
0,1,5.04,1.77,125.62,1033.12,0.39,1,1,0.01,1
2,2,10.79,0.34,207.16,1011.52,0.17,1,1,0.33,1
1,2,1.86,-0.56,517.43,269.45,0.48,0,1,0.48,-1
1,0,8.0,-2.18,846.6,1102.01,0.94,0,1,0.94,1
2,1,17.0,-3.47,603.57,1163.63,0.55,1,2,0.35,1
3,3,8.2,-0.83,815.92,242.32,0.99,0,3,0.99,-1
0,0,5.33,-0.79,452.09,223.66,0.6,0,0,0.6,-1
3,0,5.59,-4.87,1143.5,694.87,0.63,0,3,0.63,1
0,0,11.67,1.46,460.34,702.62,0.25,1,0,0.03,1
2,0,6.76,-0.06,795.5,505.18,0.08,0,2,0.08,1
1,1,6.96,1.93,682.87,631.07,0.04,1,2,0.1,1
0,0,15.56,-1.86,391.18,858.21,0.82,0,0,0.82,-1
3,3,11.2,-3.51,1057.76,1089.07,0.67,1,0,0.52,1
1,2,0.12,-1.55,816.74,563.62,0.86,1,2,0.8,-1
0,2,12.87,1.1,936.46,758.61,0.38,0,0,0.38,1
3,2,0.29,-2.64,1073.69,1024.0,0.64,1,1,0.23,1
3,2,12.7,-0.59,377.26,968.84,0.34,1,2,0.55,1
2,0,0.93,0.28,1083.11,1048.16,0.15,1,0,0.0,1
1,3,13.66,-3.66,977.36,1030.02,0.54,0,1,0.54,1
0,0,2.16,-2.29,541.59,591.8,0.98,0,0,0.98,-1
1,2,12.44,-2.27,799.44,1179.03,0.21,1,0,0.33,1
1,3,10.44,-3.74,45.23,822.65,0.71,1,0,0.04,1
2,3,3.2,-0.68,561.55,304.48,0.56,0,2,0.56,-1
3,0,6.02,1.5,1150.18,116.12,0.45,1,2,0.89,1
0,0,14.26,0.04,863.58,778.07,0.55,0,0,0.55,-1
1,2,9.86,-4.86,322.97,84.27,0.93,1,0,0.11,1
1,2,12.67,-0.89,688.39,852.73,0.5,0,1,0.5,-1
0,3,4.0,-2.7,738.49,1025.47,0.3,1,1,0.02,1
0,2,12.44,0.85,344.94,411.44,0.6,1,2,0.66,-1
1,0,3.87,-0.12,807.13,670.01,0.64,0,1,0.64,-1
3,3,8.73,-2.19,582.22,1130.3,0.11,0,3,0.11,1
0,3,5.61,-1.42,800.75,887.4,0.23,0,0,0.23,1
2,3,15.27,2.92,1115.61,1193.47,0.82,1,0,0.83,1
0,3,1.29,1.97,825.01,1080.82,0.09,0,0,0.09,1
0,3,0.09,0.78,523.09,581.07,0.21,0,0,0.21,1
0,0,9.77,1.61,1064.49,886.8,0.6,1,0,0.51,1
1,0,7.46,0.75,1166.52,215.88,0.45,1,1,0.07,1
2,0,1.88,0.69,324.11,836.15,0.83,1,1,0.18,1
0,1,11.27,-1.34,524.04,827.49,0.83,1,1,0.16,1
1,1,16.74,-3.98,1133.77,433.69,0.14,0,1,0.14,1
1,2,11.54,-4.66,711.66,405.87,0.51,0,1,0.51,-1
3,2,15.13,-0.33,478.21,217.46,0.03,0,3,0.03,1
3,3,8.88,0.62,207.59,262.01,0.45,1,1,0.5,-1
0,3,4.82,-1.94,670.75,344.63,0.99,1,1,0.93,-1
2,1,12.07,0.83,361.43,787.13,0.81,0,2,0.81,-1
0,0,3.29,-1.27,1138.9,520.96,0.01,0,0,0.01,1
2,0,2.31,1.28,366.08,1137.67,0.6,0,2,0.6,1
0,2,2.58,-0.83,1060.18,239.9,0.11,1,2,0.3,1
3,2,7.51,0.91,762.53,145.87,0.6,1,2,0.15,1
3,2,10.99,-0.49,180.56,842.92,0.63,0,3,0.63,-1
3,1,7.1,-0.12,128.67,138.07,0.53,0,3,0.53,-1
0,0,14.21,-0.82,429.87,138.99,0.54,0,0,0.54,-1
1,0,13.74,1.14,59.04,685.39,0.2,0,1,0.2,1
3,3,5.64,-0.93,717.81,487.39,0.12,1,1,0.74,1
3,0,7.59,-0.17,357.85,799.65,0.28,1,1,0.26,1
0,2,0.49,-0.45,964.26,975.01,0.58,1,0,0.61,-1
2,1,7.29,-2.97,928.21,411.33,0.03,1,1,0.56,1
3,1,10.18,-1.92,688.59,940.26,1.0,0,3,1.0,-1
3,0,9.54,-3.36,629.39,1138.34,0.92,1,2,0.06,1
2,1,5.6,0.18,293.1,390.45,0.69,0,2,0.69,-1
2,2,8.28,2.29,374.9,516.36,0.96,1,1,0.57,1
0,2,0.5,-2.95,459.58,757.17,0.8,0,0,0.8,-1
3,2,0.92,-2.69,125.38,814.81,0.72,0,3,0.72,-1
0,0,6.81,-0.24,879.73,703.58,0.46,1,1,0.91,-1
1,0,17.23,-3.5,284.21,986.48,0.12,0,1,0.12,1
1,0,0.87,-3.88,805.31,444.75,0.63,1,1,0.95,-1
3,3,15.02,1.81,533.24,740.26,0.48,1,0,0.82,-1
0,3,13.46,-2.22,640.75,290.59,0.49,1,0,0.59,-1
2,2,7.59,1.96,692.19,1125.22,0.36,1,2,0.05,1
0,0,0.45,1.44,1159.85,845.87,0.76,1,1,0.96,1
3,3,15.26,0.35,482.02,1117.78,0.65,1,0,0.52,-1
1,1,10.73,1.65,602.02,604.04,0.6,1,2,0.92,-1
3,1,7.42,-1.1,1114.99,1079.44,0.51,0,3,0.51,1
0,2,5.69,-1.22,305.27,160.13,0.82,0,0,0.82,-1
2,0,4.76,-0.09,571.82,322.61,0.51,0,2,0.51,-1
2,1,17.67,-0.06,980.34,1029.22,0.52,1,1,0.89,1
2,2,14.73,-1.96,478.62,833.06,0.01,0,2,0.01,1
2,2,14.08,0.31,837.52,850.37,0.58,1,0,0.76,-1
2,2,13.31,-4.9,213.92,888.6,0.66,0,2,0.66,-1
3,3,13.67,-0.68,839.63,450.05,0.59,0,3,0.59,-1
2,3,10.52,-2.47,768.22,879.66,0.52,0,2,0.52,-1
1,3,12.8,-3.53,337.89,129.44,0.33,0,1,0.33,1
3,3,7.22,-0.53,902.56,594.57,0.93,0,3,0.93,-1
1,3,2.95,1.39,500.64,902.57,0.88,1,1,0.88,-1
1,0,3.65,-4.7,301.47,490.41,0.7,1,0,0.88,-1
1,2,1.66,-0.18,36.24,573.22,0.86,0,1,0.86,-1
1,2,2.51,0.71,211.72,944.28,0.18,1,2,0.6,1
0,2,9.05,-4.56,806.32,754.06,0.7,0,0,0.7,-1
0,0,9.61,-4.57,490.8,908.31,0.79,0,0,0.79,-1
3,3,6.33,-3.93,371.83,221.89,0.32,0,3,0.32,1
0,1,3.26,-0.33,1074.29,1038.49,0.44,0,0,0.44,1
3,3,17.3,-2.25,912.39,864.17,0.37,0,3,0.37,1
1,2,14.33,-0.95,1120.35,851.67,0.95,0,1,0.95,1
0,1,12.36,-4.29,472.36,1021.77,0.22,1,2,0.07,1
0,2,5.99,-1.91,657.08,406.83,0.26,1,2,0.56,1
1,0,17.95,-1.77,1183.6,975.71,0.92,1,0,0.37,1
1,2,9.52,-4.46,856.96,1127.62,0.47,1,1,0.46,-1
1,3,16.17,0.14,1172.41,810.86,0.69,1,0,0.67,1
1,3,1.8,-1.02,1047.27,427.97,0.82,1,2,0.58,1
0,2,8.01,-2.34,354.25,999.57,0.99,1,1,0.54,-1
1,0,9.16,-0.52,469.37,263.5,0.7,0,1,0.7,-1
1,3,0.82,-2.54,623.97,722.29,0.14,0,1,0.14,1
2,3,3.71,-4.12,498.17,39.17,0.76,1,0,0.09,1
3,0,16.15,-1.03,995.17,841.79,0.82,1,2,0.35,1
2,2,1.32,1.31,109.53,556.73,0.05,1,2,0.57,1
3,1,9.48,-4.32,1062.97,577.1,0.63,0,3,0.63,1
1,0,3.38,0.78,841.11,838.21,0.29,0,1,0.29,1
2,3,6.19,1.55,1149.2,803.03,0.48,0,2,0.48,1
