S_type,E_type,S_speed,S_acc,D1,D2,Rs,B,F_type,Rf,Result
1,1,11.85,-4.0,978.46,1009.68,0.48,0,1,0.48,1
0,3,5.67,0.55,195.74,205.26,0.57,0,0,0.57,-1
2,2,9.27,1.36,671.01,348.26,0.63,1,2,0.93,-1
0,1,13.77,-0.93,159.49,608.03,0.95,1,1,0.43,-1
3,1,16.18,0.8,58.93,718.57,0.94,1,0,0.97,1
0,1,8.27,-1.48,917.35,969.94,0.48,0,0,0.48,-1
3,2,2.08,-1.79,306.14,416.08,0.54,0,3,0.54,-1
2,1,3.37,0.68,839.21,166.51,0.25,1,2,0.32,-1
2,3,12.99,-1.11,891.88,360.86,1.0,1,1,0.91,-1
3,2,3.71,-0.44,102.24,122.56,1.0,0,3,1.0,-1
3,1,10.79,1.31,606.69,167.21,0.43,0,3,0.43,-1
1,1,5.5,-3.59,501.04,957.48,0.52,0,1,0.52,-1
3,2,5.41,-4.86,91.04,932.82,0.99,1,1,0.49,-1
0,3,1.42,1.31,491.4,440.15,0.31,1,1,0.46,-1
1,3,9.99,-4.01,38.17,224.19,0.35,1,2,0.26,-1
3,2,7.81,2.92,338.31,615.75,0.9,1,2,0.81,1
1,0,10.73,-1.95,98.42,179.06,0.25,0,1,0.25,1
2,0,2.07,-4.32,94.91,615.53,0.26,1,1,0.63,-1
3,3,14.06,-2.93,480.55,684.98,0.51,1,2,0.22,-1
1,2,11.98,-3.41,784.61,538.79,0.36,1,1,0.51,-1
3,2,17.05,-2.68,102.68,544.77,0.38,1,2,0.86,1
3,1,6.6,2.87,583.22,443.29,0.67,0,3,0.67,1
2,0,9.21,-4.26,521.46,574.06,0.52,1,2,0.78,-1
2,2,8.86,-4.95,349.93,104.29,0.96,1,2,0.42,-1
2,3,1.35,-1.65,931.94,42.57,0.7,1,0,1.0,-1
2,2,1.03,-2.17,448.91,187.9,0.37,1,2,0.55,-1
2,0,17.53,2.58,766.37,811.15,0.25,1,1,0.41,1
3,3,4.92,-2.31,414.32,472.15,0.44,0,3,0.44,-1
2,0,13.91,-1.21,91.56,1090.06,0.99,1,2,0.88,-1
3,0,10.92,-3.8,478.41,929.3,0.4,1,2,0.84,-1
0,1,16.71,-1.05,730.74,428.53,0.37,0,0,0.37,1
1,0,3.1,-4.03,1076.94,601.13,0.38,0,1,0.38,1
1,2,4.87,-0.4,86.82,1053.82,0.79,0,1,0.79,1
1,2,3.54,0.33,678.79,461.94,0.3,0,1,0.3,-1
1,3,6.88,-2.99,721.7,466.52,0.69,0,1,0.69,-1
0,3,12.43,-4.51,215.7,158.56,0.82,0,0,0.82,-1
2,1,16.3,-1.35,195.17,194.02,0.4,0,2,0.4,1
0,0,5.96,-4.01,518.02,947.63,0.23,0,0,0.23,1
2,0,2.46,-1.12,472.62,170.84,0.98,0,2,0.98,-1
2,3,10.81,1.51,25.95,66.8,0.62,1,0,0.39,-1
2,0,14.24,-3.1,346.85,244.5,0.81,1,2,0.8,-1
1,0,17.65,-4.34,764.09,309.4,0.93,1,1,0.35,1
2,0,11.8,0.24,774.5,412.87,0.45,0,2,0.45,-1
0,1,1.78,-3.25,707.31,166.17,0.43,1,0,0.72,-1
2,2,14.0,-2.38,1025.83,710.34,0.86,1,2,0.22,1
0,2,4.32,-0.68,267.58,84.0,0.66,1,1,0.56,-1
0,1,13.88,1.34,224.43,78.42,0.42,0,0,0.42,-1
3,3,2.7,-0.39,1088.55,425.86,0.67,1,2,0.4,1
2,0,10.32,-4.21,193.49,861.97,0.48,1,0,0.97,-1
0,1,1.87,-0.6,104.62,462.38,0.58,0,0,0.58,-1
2,1,8.08,2.77,955.8,288.16,0.42,1,2,0.89,1
1,1,17.0,0.77,683.83,875.64,0.74,1,0,0.42,1
1,3,8.2,-3.96,961.73,674.76,0.33,0,1,0.33,-1
1,0,12.12,-4.9,1074.63,788.94,0.24,0,1,0.24,1
3,2,11.61,-0.59,964.19,851.56,0.44,0,3,0.44,-1
1,2,9.4,-0.47,719.93,1049.51,0.21,0,1,0.21,1
3,0,11.34,-4.68,987.81,68.81,0.89,1,2,0.48,-1
1,2,7.58,-4.36,367.87,1079.97,0.97,1,1,0.51,-1
0,3,3.07,-4.83,289.62,611.32,0.85,0,0,0.85,-1
2,3,6.36,-0.16,857.09,942.65,0.78,1,1,0.57,-1
3,1,17.94,0.15,815.17,161.29,0.45,0,3,0.45,1
1,1,10.1,-1.68,248.79,991.78,0.41,1,1,0.73,-1
0,0,8.97,1.86,509.37,305.74,0.76,0,0,0.76,-1
0,0,6.83,-0.58,720.04,218.15,0.64,0,0,0.64,-1
1,0,17.3,1.17,1039.12,460.08,0.76,1,1,0.58,1
3,1,9.14,-3.12,415.62,572.09,0.28,0,3,0.28,1
0,0,7.35,-3.88,939.84,497.14,0.79,1,2,0.81,-1
1,2,16.16,-2.29,446.63,809.67,0.94,0,1,0.94,1
0,3,13.85,3.0,953.13,286.84,0.88,1,1,0.89,1
0,0,15.92,-2.8,150.53,486.64,0.35,0,0,0.35,-1
0,3,14.28,1.58,446.23,1072.25,0.66,1,0,0.61,-1
3,3,12.24,-1.64,1011.88,998.73,0.34,1,2,0.53,1
0,1,17.26,0.82,308.71,598.82,0.58,1,0,0.29,1
3,2,0.39,1.19,760.57,749.03,0.44,1,1,0.43,-1
3,3,13.81,-2.76,456.3,689.26,0.38,1,1,0.95,-1
1,3,2.19,1.68,495.07,1036.41,0.89,1,2,0.22,-1
2,2,10.99,-1.9,785.82,718.45,0.25,1,0,0.81,-1
0,1,8.98,-3.89,816.88,1022.76,0.38,1,2,0.28,-1
0,3,17.72,-3.2,727.16,872.64,0.81,0,0,0.81,1
1,0,10.82,2.25,622.79,790.32,0.35,0,1,0.35,-1
1,0,7.64,0.41,1099.28,754.25,0.98,0,1,0.98,1
2,0,12.84,1.88,901.71,853.51,0.45,1,1,0.32,-1
0,0,9.49,0.53,484.82,943.8,0.25,1,1,0.26,1
2,1,2.56,-3.48,926.65,308.34,0.91,0,2,0.91,-1
3,3,3.3,-1.6,161.83,1078.26,0.61,1,0,0.72,-1
2,1,13.85,-0.33,32.69,340.54,0.57,1,2,0.5,-1
1,0,12.05,-4.45,643.66,469.12,0.71,0,1,0.71,-1
3,0,11.76,1.39,826.72,788.91,0.82,1,0,0.97,-1
3,3,16.92,0.4,662.16,914.24,0.62,0,3,0.62,1
2,1,1.92,1.39,1026.26,457.55,0.83,0,2,0.83,1
1,1,16.89,2.29,419.36,182.29,0.44,0,1,0.44,1
0,1,13.77,-1.79,226.56,358.28,0.83,0,0,0.83,-1
2,3,6.33,2.13,953.16,322.45,0.92,1,2,0.93,-1
3,0,12.5,-1.5,480.67,770.76,0.43,0,3,0.43,-1
3,3,15.32,2.15,873.37,495.32,0.32,0,3,0.32,-1
1,3,2.76,-4.83,1057.28,551.81,0.34,0,1,0.34,1
2,1,2.47,1.94,209.71,661.42,0.64,1,1,0.97,-1
0,0,4.21,-3.21,441.0,864.47,0.67,1,0,0.56,-1
1,0,11.27,-0.23,699.49,1070.9,0.26,0,1,0.26,1
2,2,6.01,-2.89,208.27,1033.69,0.58,1,0,0.39,-1
1,3,4.75,-4.01,691.62,332.22,0.65,1,0,0.98,-1
1,1,17.68,0.03,178.42,825.53,0.28,1,2,0.49,1
3,3,6.89,-0.8,259.7,975.96,0.37,0,3,0.37,-1
0,3,10.76,-4.89,495.92,834.9,0.92,0,0,0.92,-1
2,3,6.56,-3.21,261.73,99.89,0.45,1,0,0.41,-1
1,1,15.23,1.05,796.58,162.61,0.97,0,1,0.97,-1
3,3,10.8,-2.38,277.21,874.47,0.94,0,3,0.94,-1
2,3,1.75,-3.93,612.54,746.95,0.53,0,2,0.53,-1
1,1,6.62,-0.81,294.86,187.78,0.25,1,0,1.0,-1
1,0,12.43,-3.58,570.96,230.58,0.48,0,1,0.48,-1
2,0,12.74,2.39,544.1,611.15,0.84,1,2,0.42,1
0,3,3.66,1.47,552.96,921.82,0.81,1,1,0.33,-1
2,1,15.95,-2.09,896.43,915.56,0.39,1,2,0.34,-1
0,3,12.67,-2.14,904.17,955.77,0.46,1,1,0.29,-1
0,3,12.81,0.02,528.89,899.93,0.35,0,0,0.35,-1
0,3,4.96,-2.04,175.54,1013.44,0.37,1,2,0.48,-1
1,0,0.89,-3.22,327.54,1078.15,0.87,1,1,0.47,-1
2,0,13.45,1.75,515.12,1092.08,0.94,1,0,0.39,-1
0,2,3.2,-2.6,157.46,988.39,0.91,1,0,0.97,-1
0,0,1.29,1.96,310.14,181.01,0.69,1,0,0.58,-1
3,0,6.41,-1.41,40.52,56.21,0.49,0,3,0.49,-1
3,3,12.85,-1.83,389.97,272.69,0.85,1,0,0.81,-1
0,0,14.1,1.05,586.01,947.42,0.5,1,1,0.23,-1
3,2,7.74,2.04,877.93,324.06,0.78,0,3,0.78,-1
0,0,14.16,-3.7,766.33,267.89,0.73,1,0,0.53,-1
2,2,13.18,-1.61,279.77,387.77,0.96,0,2,0.96,-1
1,3,13.72,-1.85,62.23,230.03,0.98,0,1,0.98,-1
0,0,17.79,-3.76,1071.75,705.98,0.8,1,2,0.52,1
2,3,12.66,-2.01,586.43,1059.46,0.51,1,2,0.36,-1
3,2,11.43,2.18,1008.49,603.71,0.79,1,2,0.68,1
3,1,5.15,-0.62,692.44,1071.31,0.56,1,2,0.93,-1
2,2,16.9,-4.3,742.23,234.65,0.49,0,2,0.49,1
1,2,17.11,-3.49,157.45,911.23,0.41,0,1,0.41,1
0,2,4.22,-0.92,680.55,677.22,0.64,0,0,0.64,-1
3,3,12.0,-2.68,356.2,803.72,0.42,1,2,0.95,-1
2,3,3.88,-1.47,714.61,300.13,0.36,0,2,0.36,-1
2,2,10.43,-0.69,60.09,588.3,0.23,0,2,0.23,1
3,3,5.15,-3.44,200.16,280.16,0.68,0,3,0.68,-1
3,0,0.16,1.02,127.82,891.73,0.21,0,3,0.21,1
3,2,16.2,-3.95,266.18,359.32,0.46,1,0,0.55,1
0,2,13.54,0.61,446.98,939.79,0.76,1,1,0.62,-1
0,3,5.52,-2.23,466.62,546.36,0.42,1,0,0.26,-1
0,2,17.64,-1.72,395.36,663.88,0.66,1,1,0.26,1
2,2,17.96,-3.41,943.54,434.49,0.59,0,2,0.59,1
0,2,2.24,-1.61,1089.06,959.46,0.29,1,0,0.76,1
0,1,4.52,-0.26,49.29,323.52,0.21,0,0,0.21,1
3,1,17.3,0.75,289.3,619.79,0.66,1,0,0.66,1
1,1,17.75,-4.57,588.64,500.27,0.62,1,2,0.96,1
3,2,10.74,-3.58,647.74,377.06,0.78,0,3,0.78,-1
0,1,14.01,-4.62,48.82,217.23,0.64,1,1,0.73,-1
3,3,0.7,-0.12,870.37,516.76,0.26,0,3,0.26,1
0,3,2.97,1.63,853.25,982.79,0.44,1,2,0.39,-1
3,0,2.76,-1.23,837.98,948.35,0.53,1,1,0.39,-1
2,3,8.58,-0.51,390.19,218.48,0.6,1,2,0.87,-1
3,0,13.62,-3.7,689.55,293.77,0.22,1,0,0.29,1
3,0,17.14,1.19,67.01,1044.66,0.31,1,2,0.94,1
0,2,16.18,-3.37,929.0,884.25,0.61,0,0,0.61,1
1,3,13.34,-0.33,828.8,1078.34,0.28,1,0,0.67,-1
2,3,15.09,0.26,550.18,619.65,0.58,0,2,0.58,-1
0,0,5.2,1.66,32.4,864.78,0.6,1,1,0.48,-1
2,3,10.75,2.16,573.58,103.5,0.34,1,0,0.37,-1
0,3,0.37,0.72,48.28,1079.25,0.61,0,0,0.61,1
0,2,14.36,-4.86,215.13,1074.45,0.84,0,0,0.84,1
0,0,3.74,0.85,899.76,755.28,0.27,0,0,0.27,1
2,1,11.82,-3.72,26.32,1056.15,0.81,0,2,0.81,1
2,1,0.86,-0.76,775.6,25.86,0.96,1,1,0.83,-1
1,3,6.49,0.45,810.19,365.91,0.93,0,1,0.93,-1
1,1,12.07,-0.61,163.14,355.73,0.83,0,1,0.83,-1
3,1,2.02,-2.82,968.22,1067.76,0.52,1,1,0.22,-1
3,2,16.13,0.89,132.61,812.89,0.69,1,0,0.65,1
1,1,16.09,-1.91,1047.89,293.73,0.97,0,1,0.97,1
1,0,7.42,-0.68,584.8,627.09,0.88,0,1,0.88,-1
3,0,15.73,2.92,983.91,840.7,0.44,1,2,0.39,1
3,3,0.35,-4.06,1036.55,995.21,0.54,0,3,0.54,1
0,3,12.83,-0.56,753.69,294.93,0.42,0,0,0.42,-1
1,2,6.76,-0.69,884.35,514.9,0.75,1,1,0.94,-1
0,0,12.53,2.09,376.89,676.64,0.51,0,0,0.51,-1
2,0,0.58,-3.47,594.06,357.05,0.26,0,2,0.26,1
3,3,1.4,2.78,770.14,736.97,0.25,0,3,0.25,1
0,3,8.36,-2.64,815.45,815.13,0.25,1,2,0.99,-1
2,3,8.67,-1.06,651.11,148.8,0.41,0,2,0.41,-1
1,3,0.59,0.94,585.04,798.08,0.38,1,1,0.43,-1
1,0,9.42,1.62,951.73,875.88,0.76,0,1,0.76,-1
2,3,16.5,-2.88,410.35,923.34,0.24,1,2,0.56,1
2,0,3.68,1.11,355.59,837.35,0.36,1,1,0.96,-1
1,3,16.97,-2.96,545.31,129.16,0.26,0,1,0.26,1
1,1,3.51,-4.9,864.75,309.89,0.82,1,1,0.68,-1
0,3,1.12,2.66,907.97,889.6,0.72,0,0,0.72,1
2,3,0.75,1.46,186.45,598.51,0.47,0,2,0.47,-1
2,1,15.98,-0.86,1062.25,700.33,0.81,1,0,0.97,1
1,0,12.22,-1.45,856.88,900.57,0.92,1,0,0.21,-1
0,0,10.96,0.73,336.11,563.53,0.77,0,0,0.77,-1
0,3,10.39,0.95,577.32,288.88,0.79,1,1,0.36,-1
2,0,14.93,-1.11,703.72,894.38,0.38,1,1,0.95,-1
1,1,11.05,-1.07,416.6,766.7,0.76,0,1,0.76,-1
0,1,2.84,-1.57,1092.86,299.2,0.94,0,0,0.94,1
0,0,16.11,-2.79,485.98,775.66,0.73,1,0,0.8,1
3,3,1.0,-1.77,1021.62,1053.0,0.25,1,0,0.72,1
0,3,13.55,1.89,340.11,490.99,0.98,0,0,0.98,-1
0,0,11.24,-4.2,695.29,22.68,0.97,0,0,0.97,-1
2,1,4.9,1.5,543.11,296.62,0.78,0,2,0.78,-1
3,3,5.74,-0.08,766.34,785.29,0.39,0,3,0.39,-1
3,1,15.95,-3.45,894.28,296.27,0.89,0,3,0.89,-1
2,0,1.51,-3.55,457.0,854.15,0.97,1,1,0.77,-1
0,0,9.88,0.8,82.12,243.64,0.21,0,0,0.21,1
0,1,11.96,-3.2,694.53,607.23,0.91,1,0,0.89,-1
2,2,11.56,-2.33,99.22,290.62,0.6,1,1,0.3,-1
1,0,9.97,0.69,313.52,1031.26,0.39,0,1,0.39,1
0,0,17.92,-3.44,707.04,809.15,0.75,0,0,0.75,1
2,0,11.37,-2.58,888.13,1045.74,0.35,0,2,0.35,1
2,1,11.6,2.66,54.63,1073.99,0.98,1,2,0.61,1
2,1,3.39,-0.12,161.81,536.95,0.27,1,1,0.47,-1
1,0,4.07,0.61,783.31,237.97,0.41,0,1,0.41,-1
0,1,0.35,2.49,84.95,471.31,0.96,1,0,0.85,1
1,1,11.16,-2.75,134.62,1017.69,0.76,1,2,0.79,-1
2,2,16.98,-0.32,468.74,316.26,0.47,1,0,0.25,1
2,0,0.51,2.14,944.91,959.74,0.46,1,1,0.48,-1
3,0,14.23,-4.88,800.94,59.67,0.24,0,3,0.24,1
1,0,15.09,0.72,103.6,979.11,0.3,1,0,0.6,-1
0,3,12.11,-4.78,483.68,1047.07,0.26,1,2,0.89,-1
2,3,8.98,-2.18,563.72,384.06,0.51,1,1,0.81,-1
3,1,6.01,-0.58,428.56,702.62,0.99,0,3,0.99,-1
2,1,16.42,-1.25,757.8,484.07,0.43,1,2,0.49,1
1,0,15.82,2.09,870.28,589.75,0.46,1,0,0.68,-1
0,2,3.18,1.58,687.45,349.75,0.38,0,0,0.38,-1
0,0,16.05,-4.59,929.18,39.47,0.5,0,0,0.5,1
3,3,11.2,-3.1,121.77,35.44,0.99,1,0,0.2,-1
0,0,12.67,-0.87,234.24,100.35,0.77,0,0,0.77,-1
1,0,14.71,-0.33,156.67,545.8,0.46,1,0,0.32,-1
1,1,12.04,-0.26,241.53,667.74,0.66,0,1,0.66,-1
0,1,4.73,2.24,638.51,407.96,0.41,0,0,0.41,-1
0,1,13.09,-2.6,594.61,964.22,0.72,1,0,0.73,-1
1,0,2.24,-1.87,791.24,1047.64,0.58,1,2,0.61,-1
0,3,5.76,-4.6,335.36,302.11,0.35,0,0,0.35,-1
0,3,10.44,-0.47,569.56,716.25,0.45,1,2,0.52,-1
3,2,14.01,-0.65,183.79,60.15,0.27,0,3,0.27,1
2,2,3.44,-0.71,542.91,1076.71,0.58,1,2,0.48,-1
1,3,8.28,0.04,261.32,57.31,0.6,0,1,0.6,-1
2,3,8.52,2.64,261.14,627.17,0.36,1,2,0.25,1
1,1,10.19,-3.95,258.05,311.06,0.89,1,0,0.96,-1
3,2,13.36,-4.28,336.17,76.46,0.84,0,3,0.84,-1
0,3,17.5,-4.21,624.19,104.53,0.55,1,2,0.38,1
3,1,13.22,-0.88,225.97,426.95,0.73,1,0,0.58,-1
1,2,1.41,1.86,630.28,729.11,0.91,1,1,0.32,-1
3,3,7.28,2.14,493.5,950.44,0.98,1,1,0.49,-1
0,0,0.78,-0.37,243.7,304.52,0.5,1,0,0.69,-1
2,3,11.03,-1.69,663.67,479.87,0.38,0,2,0.38,-1
0,1,11.6,-0.99,273.21,1008.54,0.59,1,1,0.87,-1
1,2,14.15,-1.06,937.45,602.08,0.56,0,1,0.56,-1
2,0,9.93,1.96,673.32,922.85,0.71,0,2,0.71,-1
2,1,6.68,-3.28,893.47,75.72,0.57,1,0,0.85,-1
1,2,10.37,-1.54,360.11,1018.72,0.26,0,1,0.26,1
3,1,1.16,0.29,1039.01,808.26,0.98,1,2,0.46,1
2,0,3.74,-3.43,1054.06,55.0,0.35,1,1,0.81,1
1,2,10.59,0.51,923.29,926.09,0.42,1,2,0.36,-1
0,0,6.84,-1.64,890.29,576.33,0.44,0,0,0.44,-1
0,1,14.52,-4.0,408.68,199.29,0.8,0,0,0.8,-1
0,2,1.02,0.21,332.74,802.55,0.68,0,0,0.68,-1
0,0,11.36,-4.64,115.15,180.26,0.49,0,0,0.49,-1
2,0,6.12,-0.15,1099.92,485.39,0.96,0,2,0.96,1
3,3,6.94,0.39,503.38,430.88,0.22,1,1,0.56,-1
3,0,3.56,-1.78,264.62,1070.5,0.2,1,2,0.93,-1
2,2,7.25,1.76,954.45,1084.24,0.78,0,2,0.78,1
1,2,8.21,-0.38,217.76,238.5,0.31,0,1,0.31,-1
1,0,13.22,1.21,843.3,626.15,0.48,0,1,0.48,-1
0,3,1.36,-2.25,926.57,1024.5,0.67,1,1,0.45,-1
1,2,1.32,-3.68,464.25,521.23,0.26,1,2,0.27,1
0,1,4.72,2.19,250.99,562.87,0.37,0,0,0.37,-1
1,0,10.68,-0.46,899.55,965.34,0.79,0,1,0.79,-1
2,3,5.95,-4.08,345.3,733.8,0.46,0,2,0.46,-1
1,3,3.2,-2.25,608.91,885.63,0.51,1,1,0.3,-1
1,1,1.93,1.7,51.7,623.78,1.0,1,2,0.34,-1
0,0,2.06,0.6,893.18,997.52,0.57,0,0,0.57,-1
2,1,4.96,-3.56,881.22,764.02,0.62,1,2,0.77,-1
1,1,5.15,-1.22,911.13,876.45,0.76,0,1,0.76,-1
1,2,12.51,-0.51,806.62,356.23,0.91,0,1,0.91,-1
2,1,0.0,-1.86,52.23,445.27,0.59,1,2,0.45,-1
0,1,16.77,1.08,555.76,501.02,0.64,1,0,0.6,1
2,1,6.62,-3.88,1074.88,419.71,0.67,1,1,0.63,1
3,0,17.58,1.44,186.17,485.65,0.67,1,2,0.47,1
1,1,14.69,-3.08,368.24,607.95,0.74,0,1,0.74,-1
2,0,14.3,1.42,869.18,264.78,0.65,1,1,0.3,-1
2,0,9.25,2.2,990.6,298.11,0.72,0,2,0.72,-1
0,2,11.63,-0.24,171.07,366.85,0.98,0,0,0.98,-1
0,2,1.11,1.68,716.28,839.4,0.32,1,0,0.82,-1
0,0,4.4,-1.73,577.9,895.08,0.54,1,0,0.47,-1
1,0,10.2,0.59,564.9,932.14,0.23,0,1,0.23,1
1,1,13.34,0.84,608.73,1019.84,0.94,1,1,0.78,-1
2,3,2.46,2.3,519.75,783.06,0.68,1,1,0.5,-1
1,1,10.39,0.46,1037.55,519.74,0.86,1,2,0.25,1
1,0,3.63,-3.04,106.03,699.58,0.25,1,0,0.86,-1
3,2,17.01,1.41,669.95,212.49,0.48,0,3,0.48,1
2,1,3.32,-1.25,366.01,1098.29,0.57,0,2,0.57,1
1,1,0.7,1.53,135.46,695.65,0.3,1,2,0.28,-1
3,1,10.26,1.97,214.99,478.25,0.31,0,3,0.31,-1
1,2,12.31,-1.61,484.93,386.57,0.97,0,1,0.97,-1
2,3,3.17,-4.12,868.89,250.48,0.56,1,0,0.83,-1
3,3,15.48,-4.68,374.33,838.89,0.55,0,3,0.55,-1
3,0,4.47,-2.03,618.29,379.83,0.84,0,3,0.84,-1
0,2,0.57,-4.18,762.26,426.97,0.4,0,0,0.4,-1
1,3,8.8,-3.7,93.0,114.33,0.93,0,1,0.93,-1
2,2,13.42,0.29,353.13,887.65,0.82,0,2,0.82,-1
3,0,5.08,-3.9,636.24,1086.97,0.24,0,3,0.24,1
3,0,10.46,1.75,842.86,413.22,0.28,1,2,0.93,-1
3,2,14.89,-1.28,900.69,435.08,0.54,0,3,0.54,-1
2,1,5.35,0.64,1067.04,205.17,0.24,0,2,0.24,1
1,0,4.51,-2.2,174.53,719.79,0.59,1,0,0.41,-1
1,0,6.15,-3.37,1087.32,873.68,0.47,1,1,0.4,1
0,0,0.66,0.33,1072.39,196.77,0.8,1,0,0.53,1
3,0,3.0,-4.04,77.36,1071.22,0.28,1,0,0.73,-1
0,2,6.33,0.04,430.79,358.85,0.32,1,1,0.38,-1
3,2,5.76,-3.56,972.7,497.01,0.31,1,0,0.53,-1
1,1,17.49,-1.78,932.88,852.53,0.32,0,1,0.32,1
3,2,3.92,0.52,232.86,581.8,0.37,0,3,0.37,-1
2,3,8.49,-3.87,1045.99,259.37,0.6,0,2,0.6,1
0,0,13.36,-4.47,319.65,545.04,0.26,1,2,0.7,-1
1,1,15.21,-3.19,85.14,79.67,0.57,1,1,0.74,-1
1,0,1.69,-2.8,1093.23,626.97,0.59,0,1,0.59,1
0,1,1.08,2.17,892.17,320.48,0.43,0,0,0.43,-1
3,3,13.06,-2.6,520.62,1014.44,0.45,0,3,0.45,1
2,3,8.35,-0.7,272.35,431.28,0.36,0,2,0.36,-1
1,3,5.37,-3.8,83.82,574.84,0.8,0,1,0.8,-1
2,0,10.55,-4.81,451.86,830.81,0.66,1,1,0.91,-1
3,2,15.05,-3.64,917.9,65.53,0.53,0,3,0.53,-1
1,0,1.31,0.71,242.25,355.13,0.56,1,1,0.44,-1
2,3,0.11,-2.9,868.85,1062.77,0.79,1,0,0.79,-1
3,3,4.81,-2.01,564.18,685.12,0.76,0,3,0.76,-1
1,3,13.36,-1.02,961.21,1054.09,0.85,1,2,0.51,-1
1,2,17.25,1.86,858.27,1070.03,0.64,0,1,0.64,1
2,3,3.6,-4.03,878.57,826.29,0.43,1,1,0.32,-1
3,1,13.05,-2.12,771.28,183.35,0.85,0,3,0.85,-1
1,0,10.39,-0.17,1068.07,563.29,0.37,1,2,0.83,1
3,1,15.93,-0.28,133.87,1099.81,0.63,0,3,0.63,1
3,2,7.95,-0.16,469.54,772.65,0.83,0,3,0.83,-1
2,1,2.47,-2.08,676.75,37.58,0.95,1,1,0.66,-1
3,1,12.55,0.58,554.22,474.68,0.49,1,2,0.32,-1
0,3,11.22,-4.98,55.15,680.96,0.53,0,0,0.53,-1
3,1,14.28,1.26,858.98,1066.55,0.31,0,3,0.31,1
2,3,3.08,2.5,980.99,279.18,0.2,0,2,0.2,1
3,0,8.53,-2.1,270.83,1048.41,0.36,0,3,0.36,1
3,1,17.97,-3.95,32.15,128.97,0.57,1,1,0.81,1
3,2,9.16,-1.16,243.41,917.42,0.86,1,0,0.68,-1
0,3,6.49,2.05,1038.04,699.38,0.96,0,0,0.96,1
2,3,11.84,-0.46,663.19,1082.55,0.4,0,2,0.4,1
1,2,17.7,-3.76,1040.64,1099.84,0.59,1,2,0.7,1
1,0,12.18,2.69,736.83,353.12,0.45,0,1,0.45,1
3,3,16.5,2.01,470.47,263.58,0.9,0,3,0.9,1
3,1,2.96,-4.07,352.82,399.31,0.34,1,0,0.6,-1
3,2,17.9,-1.24,781.78,1093.73,0.73,1,1,0.54,1
2,0,11.3,-3.0,1057.14,372.29,0.51,1,0,0.32,1
0,2,10.41,-1.26,731.62,681.61,0.59,0,0,0.59,-1
1,2,11.77,2.91,144.77,923.22,0.86,0,1,0.86,1
1,0,9.06,2.39,226.41,714.75,0.8,1,2,0.88,1
2,2,10.73,-1.66,1035.72,394.81,0.23,0,2,0.23,1
2,1,16.31,2.4,279.14,720.15,0.86,0,2,0.86,1
2,2,14.53,-2.82,874.7,461.78,0.89,1,2,0.8,-1
